id,key,value,type
39076461,ref,33,regular
39076461,highway,motorway_junction,regular
42421960,highway,traffic_signals,regular
42423203,highway,traffic_signals,regular
42423203,traffic_signals,signal,regular
42426799,ref,17,regular
42426799,exit_to,"I-278 (Robert F. Kennedy Bridge, Bruckner Expressway, Grand Central Parkway)",regular
42426799,highway,motorway_junction,regular
42427156,highway,traffic_signals,regular
42427327,highway,traffic_signals,regular
42427881,highway,traffic_signals,regular
42428010,highway,traffic_signals,regular
42428264,highway,traffic_signals,regular
42428264,crossing,traffic_signals,regular
42428264,sloped_curb,yes,regular
42428368,highway,traffic_signals,regular
42428464,highway,traffic_signals,regular
42428464,crossing,traffic_signals,regular
42428464,sloped_curb,yes,regular
42428640,highway,traffic_signals,regular
42428782,highway,traffic_signals,regular
42428947,highway,traffic_signals,regular
42429044,highway,traffic_signals,regular
42429452,highway,traffic_signals,regular
42430038,highway,traffic_signals,regular
42430231,highway,traffic_signals,regular
42430324,highway,traffic_signals,regular
42430694,highway,traffic_signals,regular
42430903,highway,traffic_signals,regular
42431039,highway,traffic_signals,regular
42431491,highway,traffic_signals,regular
42431652,highway,traffic_signals,regular
42431814,highway,traffic_signals,regular
42432556,highway,traffic_signals,regular
42433014,highway,traffic_signals,regular
42433404,highway,traffic_signals,regular
42433539,highway,traffic_signals,regular
42434090,highway,traffic_signals,regular
42434355,highway,traffic_signals,regular
42434946,highway,traffic_signals,regular
42435198,highway,traffic_signals,regular
42435328,highway,traffic_signals,regular
42435448,highway,traffic_signals,regular
42435578,highway,traffic_signals,regular
42435705,highway,traffic_signals,regular
42435860,highway,traffic_signals,regular
42436384,highway,traffic_signals,regular
42436544,highway,traffic_signals,regular
42436701,highway,traffic_signals,regular
42436812,highway,traffic_signals,regular
42436985,highway,traffic_signals,regular
42437371,highway,traffic_signals,regular
42437755,highway,traffic_signals,regular
42438503,highway,traffic_signals,regular
42438862,highway,traffic_signals,regular
42439275,highway,traffic_signals,regular
42439488,highway,traffic_signals,regular
42439994,highway,traffic_signals,regular
42442410,highway,traffic_signals,regular
42442728,highway,traffic_signals,regular
42442898,highway,traffic_signals,regular
42443032,highway,traffic_signals,regular
42443329,highway,traffic_signals,regular
42443556,highway,traffic_signals,regular
42444812,highway,traffic_signals,regular
42445018,highway,traffic_signals,regular
42445481,highway,traffic_signals,regular
42445950,highway,traffic_signals,regular
42446506,highway,traffic_signals,regular
42446945,name,Brothers to the Rescue Corner,regular
42446945,highway,traffic_signals,regular
42447179,highway,traffic_signals,regular
42447323,highway,traffic_signals,regular
42448162,highway,traffic_signals,regular
42448558,highway,traffic_signals,regular
42448838,public_transport,stop_position,regular
42449600,highway,traffic_signals,regular
42449926,highway,traffic_signals,regular
42450066,highway,traffic_signals,regular
42451370,highway,traffic_signals,regular
42452812,highway,traffic_signals,regular
42453986,highway,traffic_signals,regular
42454401,highway,traffic_signals,regular
42455051,highway,traffic_signals,regular
42455493,highway,traffic_signals,regular
42456076,highway,traffic_signals,regular
42456555,highway,traffic_signals,regular
42458943,highway,turning_circle,regular
42460221,highway,traffic_signals,regular
42461020,highway,traffic_signals,regular
42464932,highway,traffic_signals,regular
42465030,highway,traffic_signals,regular
42465260,highway,traffic_signals,regular
42465483,highway,traffic_signals,regular
42465592,highway,traffic_signals,regular
42465746,highway,traffic_signals,regular
42465871,highway,traffic_signals,regular
42466184,highway,traffic_signals,regular
42466812,highway,traffic_signals,regular
42467030,highway,traffic_signals,regular
42467272,highway,traffic_signals,regular
42467346,highway,traffic_signals,regular
42467474,highway,traffic_signals,regular
42468137,highway,traffic_signals,regular
42468137,traffic_signals,signal,regular
42469391,highway,traffic_signals,regular
42469637,highway,traffic_signals,regular
42470385,highway,traffic_signals,regular
42470910,highway,traffic_signals,regular
42470993,highway,traffic_signals,regular
42471117,highway,traffic_signals,regular
42471787,highway,traffic_signals,regular
42471942,highway,traffic_signals,regular
42471942,traffic_signals,signal,regular
42472158,highway,traffic_signals,regular
42472428,highway,traffic_signals,regular
42473057,highway,traffic_signals,regular
42473164,highway,traffic_signals,regular
42473412,highway,traffic_signals,regular
42473549,highway,traffic_signals,regular
42473678,highway,traffic_signals,regular
42475031,highway,traffic_signals,regular
42475526,highway,traffic_signals,regular
42476324,highway,traffic_signals,regular
42477005,highway,traffic_signals,regular
42477098,highway,traffic_signals,regular
42477218,highway,traffic_signals,regular
42479164,highway,traffic_signals,regular
42479544,highway,traffic_signals,regular
42479680,highway,traffic_signals,regular
42479680,traffic_signals,signal,regular
42480534,highway,traffic_signals,regular
42481037,highway,traffic_signals,regular
42481516,crossing,traffic_signals,regular
42481516,highway,traffic_signals,regular
42481516,traffic_signals,signal,regular
42481637,highway,traffic_signals,regular
42481750,highway,traffic_signals,regular
42485282,highway,traffic_signals,regular
42485401,highway,traffic_signals,regular
42485850,highway,traffic_signals,regular
42486265,highway,traffic_signals,regular
42487484,highway,traffic_signals,regular
42487605,highway,traffic_signals,regular
42487779,highway,traffic_signals,regular
42488685,highway,traffic_signals,regular
42489240,highway,traffic_signals,regular
42489364,side,right,regular
42489364,highway,traffic_signals,regular
42489364,crossing,traffic_signals,regular
42489364,direction,forward,regular
42489364,sloped_curb,yes,regular
42490837,highway,traffic_signals,regular
42491688,highway,traffic_signals,regular
42491831,highway,traffic_signals,regular
42492627,highway,traffic_signals,regular
42493087,highway,traffic_signals,regular
42493528,highway,traffic_signals,regular
42493995,highway,traffic_signals,regular
42495242,highway,traffic_signals,regular
42495382,highway,traffic_signals,regular
42496492,highway,traffic_signals,regular
42496795,highway,traffic_signals,regular
42496975,side,right,regular
42496975,highway,traffic_signals,regular
42496975,crossing,traffic_signals,regular
42496975,direction,forward,regular
42496975,sloped_curb,yes,regular
42497275,highway,traffic_signals,regular
42497456,highway,traffic_signals,regular
42501351,highway,traffic_signals,regular
42501660,highway,traffic_signals,regular
42502124,highway,traffic_signals,regular
42504821,highway,traffic_signals,regular
42504821,crossing,traffic_signals,regular
42505987,highway,traffic_signals,regular
42505987,crossing,traffic_signals,regular
42509545,highway,traffic_signals,regular
42510710,side,right,regular
42510710,highway,traffic_signals,regular
42510710,crossing,traffic_signals,regular
42510710,direction,forward,regular
42510710,sloped_curb,yes,regular
42510861,highway,traffic_signals,regular
42511848,highway,crossing,regular
42512332,highway,traffic_signals,regular
42512332,crossing,traffic_signals,regular
42512644,highway,traffic_signals,regular
42512802,highway,traffic_signals,regular
42512802,crossing,traffic_signals,regular
42513466,highway,traffic_signals,regular
42514108,highway,traffic_signals,regular
42516460,highway,traffic_signals,regular
42516686,highway,traffic_signals,regular
42519385,highway,traffic_signals,regular
42520351,highway,traffic_signals,regular
42521006,highway,traffic_signals,regular
42521145,side,right,regular
42521145,highway,traffic_signals,regular
42521145,crossing,traffic_signals,regular
42521145,direction,forward,regular
