id,node_id,position
5670070,42432002,0
5670070,42432001,1
5670070,42432000,2
5671117,62915509,0
5671117,3874681640,1
5671117,42430680,2
5672273,42453624,0
5672273,3008856931,1
5672273,3008857243,2
5672273,42428212,3
5673972,451062347,0
5673972,1371799543,1
5673972,598228060,2
5676321,42474242,0
5676321,42465995,1
5676321,42474235,2
5676321,42474230,3
5676321,42474225,4
5676321,42474223,5
5677430,42486638,0
5677430,42486640,1
5677430,42486644,2
5677430,42481583,3
5677430,42482366,4
5677430,42486650,5
5677430,42486654,6
5677430,42486657,7
5677430,42466971,8
5677430,42473266,9
5677430,42486667,10
5677430,42485022,11
5677430,42486677,12
5677430,42479148,13
5677430,2564942589,14
5678264,42496839,0
5678264,42496837,1
5679226,42490356,0
5679226,2839776941,1
5679226,42507944,2
5680029,42474922,0
5680029,1260335176,1
5680029,1260335287,2
5680029,1260335169,3
5680029,1260335267,4
5680029,42517498,5
5680029,42517500,6
5680844,4205909308,0
5680844,42493818,1
5680844,42480320,2
5681480,42532947,0
5681480,42467919,1
5681480,2987758898,2
5681480,42498514,3
5681480,2987758899,4
5681480,42466389,5
5695540,42718555,0
5695540,42718557,1
5696460,42732807,0
5696460,42732809,1
5696460,42732813,2
5696460,42732822,3
5696460,42732826,4
5696460,42732830,5
5697183,42722746,0
5697183,42734825,1
5697183,42743563,2
5697183,42737112,3
5697183,42743571,4
5697700,42719631,0
5697700,1544555378,1
5697700,42751953,2
5697700,1544555374,3
5697700,1544555388,4
5697700,42751960,5
5697700,1544555375,6
5697700,42743238,7
5698246,42761629,0
5698246,42761626,1
5698761,42740383,0
5698761,2522559374,1
5698761,2522559385,2
5698761,2522559400,3
5698761,274330840,4
5698761,2522559383,5
5698761,2522559384,6
5698761,2522559378,7
5698761,42764584,8
5699251,42760335,0
5699251,42778070,1
5699769,471775677,0
5699769,42766776,1
5700614,42800646,0
5700614,42800649,1
5700614,42800656,2
5701337,42810282,0
5701337,42810283,1
5701337,42810285,2
5701337,42810289,3
5701834,42818003,0
5701834,42818006,1
5701834,42818010,2
5701834,42818014,3
5701834,42818017,4
5701834,42818019,5
5701834,42818023,6
5701834,42818027,7
5702436,42827985,0
5702436,42827983,1
5703018,42838041,0
5703018,42838043,1
5703018,42838045,2
5703594,42847857,0
5703594,42847860,1
5703594,42785782,2
5703594,42847868,3
5704061,42855467,0
5704061,42855471,1
5704518,42862226,0
5704518,1929497998,1
5704518,1929497995,2
5704518,42824624,3
5704518,42889415,4
5704518,42887143,5
5704518,42889420,6
5704518,42889423,7
5704518,42889427,8
5704518,42889432,9
5704518,42889436,10
5704518,2296943712,11
5704518,42889440,12
5705013,42870084,0
5705013,42870087,1
5705013,42870092,2
5705558,1491225755,0
5705558,42878320,1
5705558,1491225745,2
5705558,42878322,3
