id,key,value,type
42428782,highway,traffic_signals,regular
42430324,highway,traffic_signals,regular
42433404,highway,traffic_signals,regular
42434946,highway,traffic_signals,regular
42436384,highway,traffic_signals,regular
42447323,highway,traffic_signals,regular
42465592,highway,traffic_signals,regular
42468137,highway,traffic_signals,regular
42468137,traffic_signals,signal,regular
42469391,highway,traffic_signals,regular
42470993,highway,traffic_signals,regular
42472428,highway,traffic_signals,regular
42473678,highway,traffic_signals,regular
42479680,highway,traffic_signals,regular
42479680,traffic_signals,signal,regular
42485850,highway,traffic_signals,regular
42491688,highway,traffic_signals,regular
42496795,highway,traffic_signals,regular
42510861,highway,traffic_signals,regular
42519385,highway,traffic_signals,regular
42524065,highway,traffic_signals,regular
42526711,highway,traffic_signals,regular
42533992,highway,traffic_signals,regular
42533992,traffic_signals,signal,regular
42740731,highway,traffic_signals,regular
42871355,highway,traffic_signals,regular
42883019,highway,traffic_signals,regular
42968988,highway,traffic_signals,regular
42991741,highway,traffic_signals,regular
83921622,highway,turning_loop,regular
91471499,highway,traffic_signals,regular
103241428,highway,turning_circle,regular
103657528,highway,turning_circle,regular
103676057,highway,turning_circle,regular
103860955,highway,traffic_signals,regular
104177251,highway,turning_circle,regular
104180911,highway,turning_circle,regular
104182685,highway,turning_circle,regular
104268038,ref,29,regular
104268038,highway,motorway_junction,regular
104278076,highway,traffic_signals,regular
104278076,traffic_signals,signal,regular
104338902,railway,level_crossing,regular
104390749,highway,turning_circle,regular
104683094,highway,turning_circle,regular
104710437,highway,turning_circle,regular
104810436,highway,turning_circle,regular
104844474,highway,turning_circle,regular
105048334,highway,turning_circle,regular
105058646,highway,turning_circle,regular
105147994,highway,turning_circle,regular
105162774,highway,turning_circle,regular
105180148,highway,turning_circle,regular
105399860,highway,turning_circle,regular
105410903,highway,turning_circle,regular
122002745,created_by,JOSM,regular
158810303,ele,11,regular
158810303,name,Plandome Manor,regular
158810303,is_in,"Nassau,New York,N.Y.,NY,USA",regular
158810303,place,village,regular
158810303,id,960670,gnis
158810303,gnis:Class,Populated Place,regular
158810303,population,841,regular
158810303,gnis:County,Nassau,regular
158810303,gnis:ST_num,36,regular
158810303,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158810303,gnis:ST_alpha,NY,regular
158810303,gnis:County_num,059,regular
158810303,population,841;2006,census
158840066,ele,4,regular
158840066,name,Gulfport,regular
158840066,is_in,"Richmond,New York,N.Y.,NY,USA",regular
158840066,place,neighbourhood,regular
158840066,id,972578,gnis
158840066,gnis:Class,Populated Place,regular
158840066,gnis:County,Richmond,regular
158840066,gnis:ST_num,36,regular
158840066,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158840066,gnis:ST_alpha,NY,regular
158840066,gnis:County_num,085,regular
158859217,ele,13,regular
158859217,gnis:Class,Populated Place,regular
158859217,gnis:County,Middlesex,regular
158859217,gnis:County_num,023,regular
158859217,id,876092,gnis
158859217,gnis:ST_alpha,NJ,regular
158859217,gnis:ST_num,34,regular
158859217,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158859217,is_in,"Middlesex,New Jersey,N.J.,NJ,USA",regular
158859217,name,Edgar,regular
158859217,place,hamlet,regular
158859217,wikidata,Q19461526,regular
158908543,ele,15,regular
158908543,name,West View,regular
158908543,is_in,"Bergen,New Jersey,N.J.,NJ,USA",regular
158908543,place,hamlet,regular
158908543,id,881734,gnis
158908543,wikidata,Q22060961,regular
158908543,gnis:Class,Populated Place,regular
158908543,gnis:County,Bergen,regular
158908543,gnis:ST_num,34,regular
158908543,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
158908543,gnis:ST_alpha,NJ,regular
158908543,gnis:County_num,003,regular
213490247,highway,traffic_signals,regular
213536155,highway,turning_loop,regular
213873152,railway,level_crossing,regular
214004329,highway,turning_circle,regular
214355453,source,Yahoo,regular
214355453,highway,turning_circle,regular
222024446,created_by,JOSM,regular
235072409,created_by,JOSM,regular
243363306,created_by,JOSM,regular
243381848,created_by,JOSM,regular
243409004,created_by,JOSM,regular
247222929,highway,turning_circle,regular
254131089,highway,traffic_signals,regular
254233425,highway,turning_circle,regular
261361355,highway,motorway_junction,regular
261479044,highway,turning_circle,regular
261493711,highway,turning_circle,regular
263511979,source,county_import_v0.1,regular
263511979,attribution,USGS 2001 County Boundary,regular
274185079,ref,15,regular
274185079,highway,motorway_junction,regular
294075449,created_by,Merkaartor 0.11,regular
295802736,city,Hoboken,addr
295802736,created_by,Merkaartor 0.11,regular
295802736,street,1st St,addr
295802736,housenumber,564,addr
296377492,city,Hoboken,addr
296377492,created_by,Merkaartor 0.11,regular
296377492,street,Madison St,addr
296377492,housenumber,133,addr
296859404,created_by,Merkaartor 0.11,regular
299199758,created_by,Merkaartor 0.12,regular
299458015,ref,9,regular
299458015,highway,motorway_junction,regular
301495323,created_by,Merkaartor 0.12,regular
301497616,created_by,Merkaartor 0.12,regular
301972683,created_by,Merkaartor 0.12,regular
302128298,created_by,Merkaartor 0.12,regular
302155159,created_by,Merkaartor 0.12,regular
305499240,created_by,Merkaartor 0.12,regular
305499240,housenumber,635,addr
305556439,city,Hoboken,addr
305556439,created_by,Merkaartor 0.12,regular
305556439,street,Bloomfield St,addr
305556439,housenumber,1001,addr
307980195,created_by,Merkaartor 0.12,regular
308497940,created_by,Merkaartor 0.12,regular
315532971,created_by,Merkaartor 0.12,regular
316359953,created_by,Merkaartor 0.12,regular
316392469,ref,22S,regular
316392469,highway,motorway_junction,regular
316704570,created_by,Merkaartor 0.12,regular
317683883,exit_to,Grandview Ave;Wyckoff,regular
317683883,highway,motorway_junction,regular
