id,key,value,type
5670070,name,Gouverneur Street,regular
5670070,oneway,yes,regular
5670070,highway,residential,regular
5670070,maxspeed,25 mph,regular
5670070,cfcc,A41,tiger
5670070,county,"New York, NY",tiger
5670070,reviewed,no,tiger
5670070,zip_left,10002,tiger
5670070,name_base,Gouverneur,tiger
5670070,name_type,St,tiger
5670070,zip_right,10002,tiger
5671117,name,West 44th Street,regular
5671117,oneway,yes,regular
5671117,bicycle,yes,regular
5671117,highway,unclassified,regular
5671117,cfcc,A41,tiger
5671117,county,"New York, NY",tiger
5671117,right,lane,cycleway
5671117,reviewed,no,tiger
5671117,zip_left,10036,tiger
5671117,name_base,44th,tiger
5671117,name_type,St,tiger
5671117,zip_right,10036,tiger
5671117,name_direction_prefix,W,tiger
5672273,name,West 25th Street,regular
5672273,lanes,1,regular
5672273,oneway,yes,regular
5672273,highway,residential,regular
5672273,surface,asphalt,regular
5672273,maxspeed,25 mph,regular
5672273,cfcc,A41,tiger
5672273,county,"New York, NY",tiger
5672273,left,opposite_lane,cycleway
5672273,bicycle,no,oneway
5672273,reviewed,aerial,tiger
5672273,zip_left,10001,tiger
5672273,name_base,25th,tiger
5672273,name_type,St,tiger
5672273,zip_right,10001,tiger
5672273,name_direction_prefix,W,tiger
5673972,bicycle,yes,regular
5673972,highway,track,regular
5673972,surface,paved,regular
5673972,cfcc,A71,tiger
5673972,tlid,59100680:59100683:59100686:59100689,tiger
5673972,county,"Kings, NY",tiger
5673972,source,tiger_import_dch_v0.6_20070829,tiger
5673972,reviewed,no,tiger
5673972,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5676321,name,67th Street,regular
5676321,oneway,yes,regular
5676321,highway,residential,regular
5676321,cfcc,A41,tiger
5676321,tlid,59094210:59094124:59094131:59094132:59094195,tiger
5676321,county,"Kings, NY",tiger
5676321,source,tiger_import_dch_v0.6_20070829,tiger
5676321,reviewed,no,tiger
5676321,zip_left,11220,tiger
5676321,name_base,67th,tiger
5676321,name_type,St,tiger
5676321,separated,no,tiger
5676321,zip_right,11220,tiger
5676321,upload_uuid,bulk_upload.pl-8a1a8f82-26aa-4f15-b5fe-a7476c89e45e,tiger
5677430,name,Madison Street,regular
5677430,lanes,3,regular
5677430,oneway,yes,regular
5677430,highway,residential,regular
5677430,cfcc,A41,tiger
5677430,county,"Kings, NY",tiger
5677430,zip_left,11221,tiger
5677430,name_base,Madison,tiger
5677430,name_type,St,tiger
5677430,zip_right,11221,tiger
5678264,name,Calyer Street,regular
5678264,oneway,yes,regular
5678264,bicycle,yes,regular
